VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchasedQuantity,TotalPurchasedDollar,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExcisetax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
480,BACARDI USA INC,4357,Bacardi Oakheart Spiced Trav,7.46,750.0,9.99,1,7.46,399.6,369.63,40.0,31.58,89286.27,392.14,98.13,40.0,53.57,7.46,Small,-290.94
480,BACARDI USA INC,5181,Leblon Cedilla Acai Liqueur,23.99,750.0,29.99,1,23.99,89.97,89.97,3.0,2.37,89286.27,65.98,73.34,3.0,3.75,23.99,Small,-47.98
480,BACARDI USA INC,6916,St Germain Liqueur,11.1,200.0,14.99,1,11.1,374.75,314.79,25.0,5.25,89286.27,363.65,97.04,25.0,33.76,11.1,Small,-266.4
516,BANFI PRODUCTS CORP,17172,Riunite Sweet White,4.1,750.0,5.99,1,4.1,161.73,131.78,27.0,2.98,8510.41,157.63,97.46,27.0,39.45,4.1,Small,-106.6
516,BANFI PRODUCTS CORP,18807,C Y Toro Diablo Red,7.94,750.0,11.99,1,7.94,11.99,11.99,1.0,0.11,8510.41,4.05,33.78,1.0,1.51,7.94,Small,0.0
516,BANFI PRODUCTS CORP,37921,C Y Toro Carmenere Terrunyo,14.47,750.0,31.99,1,14.47,175.92,131.94,8.0,0.89,8510.41,161.45,91.77,8.0,12.16,14.47,Small,-101.29
653,STATE WINE & SPIRITS,8058,Batavia Arrack Rum,23.01,750.0,31.99,1,23.01,31.99,31.99,1.0,0.79,8014.98,8.98,28.07,1.0,1.39,23.01,Small,0.0
653,STATE WINE & SPIRITS,8060,Salers Apertif Gentiane,14.28,750.0,21.99,1,14.28,21.99,21.99,1.0,0.11,8014.98,7.71,35.06,1.0,1.54,14.28,Small,0.0
653,STATE WINE & SPIRITS,9373,Rothman & Winter Pear Liquer,17.31,750.0,21.99,1,17.31,21.99,21.99,1.0,0.79,8014.98,4.68,21.28,1.0,1.27,17.31,Small,0.0
653,STATE WINE & SPIRITS,17759,Joseph Mellot Reuilly Svgn B,11.03,750.0,15.99,1,11.03,15.99,15.99,1.0,0.11,8014.98,4.96,31.02,1.0,1.45,11.03,Small,0.0
653,STATE WINE & SPIRITS,24438,Quara Malbec,8.1,750.0,11.99,1,8.1,11.99,11.99,1.0,0.11,8014.98,3.89,32.44,1.0,1.48,8.1,Small,0.0
653,STATE WINE & SPIRITS,38966,Henri Bourgeois Svgn Blanc,9.73,750.0,14.99,1,9.73,14.99,14.99,1.0,0.11,8014.98,5.26,35.09,1.0,1.54,9.73,Small,0.0
660,SAZERAC NORTH AMERICA INC.,8563,Chi Chi's Chocolate Malt RTD,8.72,1750.0,10.99,1,8.72,461.58,395.64,42.0,77.22,17932.33,452.86,98.11,42.0,52.93,8.72,Small,-357.52000000000004
1128,BROWN-FORMAN CORP,1173,Woodford Rsv Cotton Restrant,36.5,1000.0,45.99,1,36.5,1471.68,275.94,32.0,33.6,68601.68,1435.18,97.52,32.0,40.32,36.5,Small,-1131.5
1128,BROWN-FORMAN CORP,2577,Jack Daniels 2 Yr Rested Rye,37.87,750.0,49.99,1,37.87,499.9,349.93,10.0,7.88,68601.68,462.03,92.42,10.0,13.2,37.87,Small,-340.83
1128,BROWN-FORMAN CORP,3063,Chambord Vodka,13.13,750.0,24.99,1,13.13,35.98,35.98,2.0,1.58,68601.68,22.85,63.51,2.0,2.74,13.13,Small,-13.13
1392,CONSTELLATION BRANDS INC,25768,Estancia Rsv Meritage Paso R,71.23,3000.0,103.99,1,71.23,103.99,103.99,1.0,0.45,79528.99,32.76,31.5,1.0,1.46,71.23,Small,0.0
1392,CONSTELLATION BRANDS INC,25769,R Mondavi Winery Cab Svgn Na,83.78,3000.0,123.99,1,83.78,123.99,123.99,1.0,0.45,79528.99,40.21,32.43,1.0,1.48,83.78,Small,0.0
1590,DIAGEO CHATEAU ESTATE WINES,16330,Cherry On Top Sweet White,7.14,750.0,12.99,1,7.14,64.95,64.95,5.0,0.55,7259.75,57.81,89.01,5.0,9.1,7.14,Small,-28.56
1601,VRANKEN AMERICA,24154,Ch La Gordonne Chapelle Rose,18.91,1500.0,27.99,1,18.91,167.94,167.94,6.0,1.32,1048.97,149.03,88.74,6.0,8.88,18.91,Small,-94.55
1650,Circa Wines,23442,Sule Susumaniello IGP,14.28,750.0,20.99,1,14.28,20.99,20.99,1.0,0.11,211.97,6.71,31.97,1.0,1.47,14.28,Small,0.0
1650,Circa Wines,23484,Ranch 32 Chard,9.45,750.0,13.99,1,9.45,13.99,13.99,1.0,0.11,211.97,4.54,32.45,1.0,1.48,9.45,Small,0.0
1703,ALISA CARR BEVERAGES,90086,La Dame Montrose St Estep 11,34.2,750.0,51.99,1,34.2,1403.73,1247.76,27.0,2.98,172.0,1369.53,97.56,27.0,41.04,34.2,Small,-889.2
2000,SOUTHERN WINE & SPIRITS NE,2849,Tullibardine 20 YO Highland,129.49,750.0,179.99,1,129.49,2879.84,2879.84,16.0,12.64,19016.59,2750.35,95.5,16.0,22.24,129.49,Small,-1942.3500000000001
2000,SOUTHERN WINE & SPIRITS NE,19955,Ch La Croix de Beaucailou 10,64.18,750.0,94.99,1,64.18,2944.69,1329.86,31.0,3.46,19016.59,2880.51,97.82,31.0,45.88,64.18,Small,-1925.4
